;	Marker Co	ordinate F	ile	
1	-355.4	619.81	14.15	0.07
1	-312.01	575.28	17.05	0.07
1	-395.24	522.2	16.9	0.07
1	-395.69	549.2	18.15	0.07
1	-317.45	505.09	12.9	0.07
1	-356.62	508.79	14.45	0.07
1	-334.58	557.97	14.65	0.07
1	-339.18	568.92	16.1	0.07
1	-370.12	513.37	18.05	0.07
1	-232.36	563.65	11.6	0.07
1	-238.52	524.15	12.4	0.07
1	-212.63	514.31	12.75	0.07
1	-261.14	522.67	15.9	0.07
1	-272.12	497.52	16	0.07
1	-224.94	547.74	17.4	0.07
1	-142.75	555.06	18.2	0.07
1	-130.95	522.81	18.15	0.07
1	-82.06	538.2	17.3	0.07
1	-11.14	521.78	12.6	0.07
1	22.47	572.22	18.8	0.07
1	68.7	559.8	19.3	0.07
1	98.52	541.09	16.3	0.07
1	164.5	553.73	12.65	0.07
1	172.95	531.17	13.85	0.07
1	221.7	512.39	15.45	0.07
1	274.74	508.1	13.15	0.07
1	295.29	549.74	14.2	0.07
1	251	470.28	12.9	0.07
1	288.39	434.11	12.9	0.07
1	299.66	496.16	14.25	0.07
1	306.12	457.33	15.6	0.07
1	241.43	470.28	16.3	0.07
1	237.65	456	16.9	0.07
1	235.49	431.37	17.15	0.07
1	276.81	473.97	18.35	0.07
1	173.97	436.15	16.6	0.07
1	202.83	459.3	15.75	0.07
1	161.58	479.05	15.3	0.07
1	132.13	437.26	14.25	0.07
1	106.02	452.2	12.2	0.07
1	45.49	426.68	13.95	0.07
1	58.54	448.21	14.45	0.07
1	64.11	452.5	16.15	0.07
1	25.53	426.83	17.45	0.07
1	7.95	430.31	17.95	0.07
1	-56.96	492.74	16.35	0.07
1	-25.8	455.53	13.1	0.07
1	11.07	488	12.3	0.07
1	-74.54	456.05	11.95	0.07
